idx,path,jurisdiction,jur_ok,jur_suggest,practice,prac_ok,prac_suggest,note,ft_read,ft_jur_check,ft_prac_check,ft_note,applied
25,br/data-protection/skills/legal-response-evolution-foundation/SKILL.md,br,ok,,data-protection,maybe,general,шаблонные ответы на разные запросы (hold/NDA/subpoena/DSAR) — это legal-ops=general,yes,,подтв: general,шаблоны ответов на 7 типов запросов (LGPD/hold/NDA/subpoena/insurance) — legal-ops,перемещён → br/general/skills/legal-response-evolution-foundation
26,br/data-protection/skills/lgpd/SKILL.md,br,ok,,data-protection,ok,,,,,,,
27,br/general/skills/advogado-especialista/SKILL.md,br,ok,,general,ok,,мультидоменный юрист — residual general,,,,,
28,br/litigation/skills/leiloeiro-juridico-sickn33/SKILL.md,br,ok,,litigation,maybe,real-estate,анализ леилőes недвижимости (обращение взыскания) — предметно real-estate,yes,,подтв(слабо): real-estate,"полный текст: тяжёлая процессуальная часть (CPC исполнение/embargos) + предмет недвижимость — litigation тоже обоснован, гибрид",оставлен: litigation↔real-estate — оба обоснованы
29,br/real-estate/skills/gerador-contrato-locacao-preview/SKILL.md,br,ok,,real-estate,ok,,договор аренды,,,,,
30,br/real-estate/skills/leiloeiro-edital-foolhardy45/SKILL.md,br,ok,,real-estate,ok,,торги недвижимостью,,,,,
31,br/real-estate/skills/leiloeiro-edital-ranbot-ai/SKILL.md,br,ok,,real-estate,ok,,дубликат leiloeiro-edital,,,,,
32,br/real-estate/skills/leiloeiro-edital/SKILL.md,br,ok,,real-estate,ok,,дубликат leiloeiro-edital,,,,,
33,br/real-estate/skills/leiloeiro-ia-sickn33/SKILL.md,br,ok,,real-estate,ok,,,,,,,
34,br/real-estate/skills/leiloeiro-ia/SKILL.md,br,ok,,real-estate,ok,,дубликат leiloeiro-ia,,,,,
35,br/real-estate/skills/leiloeiro-risco/SKILL.md,br,ok,,real-estate,ok,,риск-аудит торгов недвижимостью,,,,,
36,br/regulatory/skills/legal-compliance-check/SKILL.md,br,ok,,regulatory,ok,,общий комплаенс-чек — residual,,,,,
37,ca/constitutional/skills/arckit-ca-charter/SKILL.md,ca,ok,,constitutional,ok,,Charter/Oakes,,,,,
38,ca/data-protection/skills/canada-pipeda/SKILL.md,ca,ok,,data-protection,ok,,,,,,,
39,ca/environmental/skills/water-rights-fishing/SKILL.md,ca,ok,,environmental,maybe,litigation,клерк-индексатор доказательств по иску коренных народов о водных правах — спорно environmental vs litigation,yes,,подтв(сильно): litigation,"клерк-индексатор доказательств по иску коренных народов о водных правах — это e-discovery, не субстантивное environmental",перемещён → ca/litigation/skills/water-rights-fishing
40,ca/litigation/skills/fiduciary-duty-negligence/SKILL.md,ca,ok,,litigation,ok,,подготовка доказательств по иску о фид. обязанностях Короны,,,,,
41,ca/personal-injury/skills/canada-memo/SKILL.md,ca,ok,,personal-injury,ok,,Ontario PI memo,,,,,
42,ca/real-estate/skills/forms-1-12-completeness-verification/SKILL.md,ca,ok,,real-estate,ok,,экспроприация земли (Ontario),,,,,
43,ca/regulatory/skills/arckit-ca-fitaa/SKILL.md,ca,ok,,regulatory,ok,,реестр иностранного влияния — residual,,,,,
44,ca/regulatory/skills/arckit-ca-ola/SKILL.md,ca,ok,,regulatory,ok,,Official Languages Act — residual,,,,,
45,ca/regulatory/skills/arckit-ca-soia/SKILL.md,ca,ok,,regulatory,ok,,"обращение с гостайной; possible cybersecurity, но residual ок",,,,,
46,ch/data-protection/skills/ch-fadp-expert/SKILL.md,ch,ok,,data-protection,ok,,Swiss FADP,,,,,
47,ch/general/skills/swiss-legal-source-authority-triage-enrique-g-zbinden/SKILL.md,ch,ok,,general,ok,,маршрутизация источников права — legal research=general,,,,,
48,ch/insurance/skills/claims-guide/SKILL.md,ch,ok,,insurance,ok,,ведение страх. случая (VVG/KVG/UVG),,,,,
49,ch/sports/skills/cas-berufung-vorbereiten/SKILL.md,ch,ok,,sports,ok,,CAS-спор → sports по правилу,,,,,
50,cm/real-estate/skills/land-title-verifier-wutsi/SKILL.md,cm,ok,,real-estate,ok,,проверка титула на землю,,,,,
51,cm/real-estate/skills/land-title-verifier/SKILL.md,cm,ok,,real-estate,ok,,дубликат land-title-verifier-wutsi,,,,,
52,cn/administrative/skills/admin-review/SKILL.md,cn,ok,,administrative,ok,,проверка процедуры адм. дел органов общ. безопасности,,,,,
53,cn/arbitration/skills/labor-arbitration-agent/SKILL.md,cn,ok,,arbitration,wrong,employment,"劳动仲裁 → по правилу классификатора это employment, не arbitration",yes,,подтв wrong: employment,劳动仲裁: предмет — трудовой спор (увольнение/зарплата/соцстрах); employment вернее arbitration-форума,перемещён → cn/employment/skills/labor-arbitration-agent
54,cn/bankruptcy/skills/bankruptcy-monitor-qcc/SKILL.md,cn,ok,,bankruptcy,ok,,,,,,,
55,cn/capital-markets/skills/regulatory-inquiry-response-ipo/SKILL.md,cn,ok,,capital-markets,ok,,IPO-размещение,,,,,
56,cn/construction/skills/construction-mediation-kg/SKILL.md,cn,ok,,construction,ok,,споры по стройке; сильный уклон в медиацию (ADR),,,,,
57,cn/contracts/skills/contract-drafting-and-review-guidance-china-law/SKILL.md,cn,ok,,contracts,ok,,методика проверки договоров,,,,,
58,cn/contracts/skills/contract-gen/SKILL.md,cn,ok,,contracts,ok,,,,,,,
59,cn/contracts/skills/wps-contract/SKILL.md,cn,ok,,contracts,ok,,шаблоны договоров,,,,,
60,cn/corporate/skills/ecm-dd-charter/SKILL.md,cn,ok,,corporate,ok,,DD устава/корп.управления (в контексте ECM/IPO),,,,,
61,cn/corporate/skills/ecm-dd-data-verify/SKILL.md,cn,ok,,corporate,ok,,утилита сверки данных для DD,,,,,
62,cn/data-protection/skills/china-pipl/SKILL.md,cn,ok,,data-protection,ok,,,,,,,
63,cn/employment/skills/investigation-add-zhou210712/SKILL.md,cn,ok,,employment,ok,,внутр. HR-расследование,,,,,
64,cn/employment/skills/investigation-memo-zhou210712/SKILL.md,cn,ok,,employment,ok,,,,,,,
65,cn/employment/skills/labor-compliance/SKILL.md,cn,ok,,employment,ok,,,,,,,
66,cn/employment/skills/leave-tracker-zhou210712/SKILL.md,cn,ok,,employment,ok,,,,,,,
67,cn/general/skills/legal-issue-research/SKILL.md,cn,ok,,general,ok,,юр. поиск,,,,,
68,cn/general/skills/yd-law-search/SKILL.md,cn,ok,,general,ok,,,,,,,
69,cn/general/skills/yuandian-law-search/SKILL.md,cn,ok,,general,ok,,,,,,,
70,cn/general/skills/zhihe-legal-research/SKILL.md,cn,ok,,general,ok,,,,,,,
71,cn/ip/skills/chinese-copyright-application-okooo5km/SKILL.md,cn,ok,,ip,ok,,ПО-копирайт,,,,,
72,cn/ip/skills/chinese-copyright-application/SKILL.md,cn,ok,,ip,ok,,,,,,,
73,cn/ip/skills/copyright-docs/SKILL.md,cn,ok,,ip,ok,,,,,,,
74,cn/ip/skills/paper-to-cn-patent/SKILL.md,cn,ok,,ip,ok,,,,,,,
75,cn/ip/skills/paper2patent/SKILL.md,cn,ok,,ip,ok,,,,,,,
76,cn/ip/skills/patent-architect/SKILL.md,cn,ok,,ip,ok,,,,,,,
77,cn/ip/skills/software-copyright/SKILL.md,cn,ok,,ip,ok,,,,,,,
78,cn/ip/skills/trademark-assistant/SKILL.md,cn,ok,,ip,ok,,,,,,,
79,cn/litigation/skills/02-lyronlee/SKILL.md,cn,ok,,litigation,ok,,апелляционные материалы,,,,,
80,cn/litigation/skills/02/SKILL.md,cn,ok,,litigation,ok,,,,,,,
81,cn/litigation/skills/court-sms/SKILL.md,cn,ok,,litigation,ok,,ведение дела/документооборот,,,,,
82,cn/litigation/skills/evidence-authenticity-review/SKILL.md,cn,ok,,litigation,ok,,,,,,,
83,cn/litigation/skills/legal-hold-zhou210712/SKILL.md,cn,ok,,litigation,ok,,,,,,,
84,cn/litigation/skills/litigation-analysis-qcc/SKILL.md,cn,ok,,litigation,ok,,,,,,,
85,cn/litigation/skills/privilege-log-review-zhou210712/SKILL.md,cn,ok,,litigation,ok,,,,,,,
86,cn/litigation/skills/wechat-query-realname-info/SKILL.md,cn,ok,,litigation,ok,,сбор доказательств,,,,,
87,cn/litigation/skills/yd-case-search/SKILL.md,cn,ok,,litigation,ok,,поиск судебной практики,,,,,
88,cn/personal-injury/skills/traffic-accident-assessor/SKILL.md,cn,ok,,personal-injury,ok,,ДТП/ответственность,,,,,
89,cn/regulatory/skills/ad-compliance-review/SKILL.md,cn,ok,,regulatory,ok,,реклама (广告法); возможен tmt/consumer,,,,,
90,cn/regulatory/skills/asset-review/SKILL.md,cn,ok,,regulatory,ok,,аудит госактивов (эконом. ответственность),,,,,
91,cn/regulatory/skills/compliance-review-jack4world/SKILL.md,cn,ok,,regulatory,ok,,антикоррупц. аудит; возможен white-collar,,,,,
92,cn/regulatory/skills/food-label-review/SKILL.md,cn,ok,,regulatory,ok,,маркировка пищи (GB 7718),,,,,
93,cn/regulatory/skills/legal-compliance-search/SKILL.md,cn,ok,,regulatory,ok,,поиск требований комплаенса,,,,,
94,cn/securities/skills/ecm-dd-independence/SKILL.md,cn,ok,,securities,maybe,capital-markets,"IPO-DD эмитента (выпуск) — ближе к capital-markets, чем securities",yes,,подтв: capital-markets,五独立 DD эмитента при IPO (编报规则12) — это ECM/capital-markets,перемещён → cn/capital-markets/skills/ecm-dd-independence
95,cn/securities/skills/regulatory-inquiry-response-assistant/SKILL.md,cn,ok,,securities,ok,,ответы на запросы по листингованным — ongoing compliance,,,,,
96,cn/securities/skills/regulatory-inquiry-response-bond/SKILL.md,cn,ok,,securities,maybe,capital-markets,облигационный выпуск — issuance → capital-markets,yes,,подтв: capital-markets,回复 по облигационному выпуску (公司债/企业债) — debt capital markets,перемещён → cn/capital-markets/skills/regulatory-inquiry-response-bond
97,cn/securities/skills/regulatory-inquiry-response-refinancing/SKILL.md,cn,ok,,securities,maybe,capital-markets,рефинансирование (定增/配股/可转债) — issuance → capital-markets,yes,,подтв: capital-markets,回复 по 定增/配股/可转债 — equity/convertible issuance,перемещён → cn/capital-markets/skills/regulatory-inquiry-response-refinancing
98,cn/tax/skills/tax-law-research/SKILL.md,cn,ok,,tax,ok,,налоговый поиск,,,,,
99,cross-jurisdiction/antitrust/skills/alternative-marktdefinition-weit/SKILL.md,cross-jurisdiction,maybe,de,antitrust,ok,,§18 GWB (нем. право) + Art.102 AEUV; репо нем. права — скорее de,yes,подтв: de,,§18 Abs.4 GWB ведущий для вывода; EU-методика как референс — нем. практика,перемещён → de/antitrust/skills/alternative-marktdefinition-weit
100,cross-jurisdiction/antitrust/skills/eu-bekanntmachung-marktdefinition-2024/SKILL.md,cross-jurisdiction,maybe,eu,antitrust,ok,,"чисто EU-bekanntmachung Комиссии → eu, не cross-jurisdiction",yes,подтв(сильно): eu,,чисто EU-Bekanntmachung Комиссии 2024 (ABl. C/2024/1645),перемещён → eu/antitrust/skills/eu-bekanntmachung-marktdefinition-2024
101,cross-jurisdiction/antitrust/skills/europarecht-wettbewerb-kartell/SKILL.md,cross-jurisdiction,maybe,eu,antitrust,ok,,"Art.101/102 AEUV (право ЕС) — скорее eu, чем cross-jurisdiction",yes,подтв: eu,,"Art.101/102 AEUV ведущие (europarecht-kompass); §§1,18,33 GWB как нац. контекст",перемещён → eu/antitrust/skills/europarecht-wettbewerb-kartell
102,cross-jurisdiction/antitrust/skills/fusionskontrolle-modus/SKILL.md,cross-jurisdiction,maybe,eu,antitrust,ok,,FKVO 139/2004 (ЕС) ведущая — скорее eu,yes,подтв: eu,,FKVO 139/2004 ведущая (SIEC); §§35-43 GWB для нац. порогов,перемещён → eu/antitrust/skills/fusionskontrolle-modus
103,cross-jurisdiction/antitrust/skills/marktabgrenzung-kontextanalyse/SKILL.md,cross-jurisdiction,maybe,de,antitrust,ok,,нем. практика рынка (§18 GWB) с EU-методикой — ближе к de,yes,подтв: de,,§18 GWB + EU-методика — нем. практика рынка,перемещён → de/antitrust/skills/marktabgrenzung-kontextanalyse
104,cross-jurisdiction/antitrust/skills/potenzieller-wettbewerb-marktzutritt/SKILL.md,cross-jurisdiction,maybe,de,antitrust,ok,,§18 GWB + EU-notice — нем. практика,yes,подтв: de,,§18 GWB + Art.102 AEUV — нем. практика,перемещён → de/antitrust/skills/potenzieller-wettbewerb-marktzutritt
105,cross-jurisdiction/antitrust/skills/raeumlicher-markt-abgrenzung/SKILL.md,cross-jurisdiction,maybe,de,antitrust,ok,,§18 GWB ведущий — de,yes,подтв: de,,§18 Abs.1 GWB ведущий,перемещён → de/antitrust/skills/raeumlicher-markt-abgrenzung
106,cross-jurisdiction/antitrust/skills/ssnip-test-anwendung/SKILL.md,cross-jurisdiction,maybe,de,antitrust,ok,,нем. практика рынка; EU/US как референс,yes,снимаю флаг (cross-jurisdiction ОК),,методология SSNIP цитирует EU(2024)+US(2010)+DE — cross-jurisdiction обоснован,оставлен: cross-jurisdiction корректна (методология EU+US+DE)
107,cross-jurisdiction/arbitration/skills/fachanwalt-internationales-wirtschaftsrecht-orientierung/SKILL.md,cross-jurisdiction,ok,,arbitration,maybe,commercial,ориентир/роутинг по межд. хоз. праву (CISG/арбитраж/санкции) — шире arbitration,yes,,подтв: commercial,ориентир по межд. хоз. праву (CISG/Rom-I/арбитраж/санкции/ICSID/WTO) — arbitration лишь один из многих топиков,перемещён → cross-jurisdiction/commercial/skills/fachanwalt-internationales-wirtschaftsrecht-orientierung
108,cross-jurisdiction/arbitration/skills/international-arbitration/SKILL.md,cross-jurisdiction,ok,,arbitration,ok,,,,,,,
109,cross-jurisdiction/aviation/skills/aviation-law-summary/SKILL.md,cross-jurisdiction,ok,,aviation,ok,,US+межд.,,,,,
110,cross-jurisdiction/commercial/skills/incoterms-und-gefahruebergang/SKILL.md,cross-jurisdiction,ok,,commercial,ok,,Incoterms/CISG — межд. купля-продажа,,,,,
111,cross-jurisdiction/contracts/skills/common-law-begriffe-uebersetzung/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,терминология договоров DE↔common law,,,,,
112,cross-jurisdiction/contracts/skills/common-law-client-explainer/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,объяснение common-law концепций,,,,,
113,cross-jurisdiction/contracts/skills/common-law-contract-formation-consideration/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,,,,,,
114,cross-jurisdiction/contracts/skills/common-law-false-friends-scanner/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,,,,,,
115,cross-jurisdiction/contracts/skills/common-law-kommandocenter/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,роутер common-law мандата,,,,,
116,cross-jurisdiction/contracts/skills/common-law-remedies-damages-equity/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,,,,,,
117,cross-jurisdiction/contracts/skills/common-law-representations-warranties-covenants/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,,,,,,
118,cross-jurisdiction/contracts/skills/common-law-simulation-negotiation/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,тренинг переговоров по контрактам,,,,,
119,cross-jurisdiction/contracts/skills/common-law-ucc-sales-goods/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,,,,,,
120,cross-jurisdiction/contracts/skills/common-law-us-vs-uk-drafting/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,,,,,,
121,cross-jurisdiction/contracts/skills/contract-and-proposal-writer-borghei/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,US/EU/UK/DACH шаблоны,,,,,
122,cross-jurisdiction/contracts/skills/contract-and-proposal-writer-neekware/SKILL.md,cross-jurisdiction,ok,,contracts,ok,,дубликат borghei,,,,,
123,cross-jurisdiction/corporate/skills/grosskanzlei-corporate-ma-translations-multijurisdictional/SKILL.md,cross-jurisdiction,ok,,corporate,ok,,cross-border M&A координация,,,,,
124,cross-jurisdiction/corporate/skills/lex-diegosouzapw/SKILL.md,cross-jurisdiction,ok,,corporate,ok,,LEX: формирование юрлиц/контракты; мультидомен,,,,,
125,cross-jurisdiction/corporate/skills/lex-ignvvcio254/SKILL.md,cross-jurisdiction,ok,,corporate,ok,,дубликат LEX,,,,,
126,cross-jurisdiction/corporate/skills/lex-v2/SKILL.md,cross-jurisdiction,ok,,corporate,ok,,дубликат LEX,,,,,
127,cross-jurisdiction/corporate/skills/lex/SKILL.md,cross-jurisdiction,ok,,corporate,ok,,дубликат LEX,,,,,
128,cross-jurisdiction/corporate/skills/mittelstand-corporate-ma-translations-multijurisdictional/SKILL.md,cross-jurisdiction,ok,,corporate,ok,,cross-border M&A,,,,,
129,cross-jurisdiction/cybersecurity/skills/arckit-eu-nis2/SKILL.md,cross-jurisdiction,maybe,eu,cybersecurity,ok,,NIS2 — директива ЕС → eu,yes,подтв: eu,,NIS2 директива (2022/2555) + нац. транспозиция (FR/ANSSI) — ведёт ЕС,перемещён → eu/cybersecurity/skills/arckit-eu-nis2
130,cross-jurisdiction/cybersecurity/skills/eu-nis2-expert/SKILL.md,cross-jurisdiction,maybe,eu,cybersecurity,ok,,NIS2 — директива ЕС → eu,yes,подтв(сильно): eu,,"NIS2 директива — справочная экспертиза, member-state-neutral",перемещён → eu/cybersecurity/skills/eu-nis2-expert
131,cross-jurisdiction/data-protection/skills/age-verification-methods/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,GDPR+UK+COPPA+DSA,,,,,
132,cross-jurisdiction/data-protection/skills/ai-privacy-assessment/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,DPIA+EU AI Act+NIST,,,,,
133,cross-jurisdiction/data-protection/skills/apac-transfers/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,APAC трансферы,,,,,
134,cross-jurisdiction/data-protection/skills/apec-cbpr-cert/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,APEC CBPR,,,,,
135,cross-jurisdiction/data-protection/skills/arckit-eu-rgpd/SKILL.md,cross-jurisdiction,maybe,eu,data-protection,ok,,GDPR EU-baseline (member-state-neutral) → eu,yes,подтв(сильно): eu,,"GDPR baseline, явно 'member-state-neutral'; CNIL вынесен в отдельный скилл",перемещён → eu/data-protection/skills/arckit-eu-rgpd
136,cross-jurisdiction/data-protection/skills/breach-multi-jurisdiction/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,реально мульти-юрисдикция,,,,,
137,cross-jurisdiction/data-protection/skills/children-data-minimization/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,,,,,,
138,cross-jurisdiction/data-protection/skills/children-profiling-limits/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,,,,,,
139,cross-jurisdiction/data-protection/skills/clause/SKILL.md,cross-jurisdiction,ok,,data-protection,maybe,regulatory,ToS+privacy+реклама(景表法)+app-store(DSA/DMA) — шире data-protection,yes,,подтв(сильно): regulatory,"ToS+Privacy+景表法/реклама+DSA/DMA+app-store+EAA — мультидоменный, privacy лишь часть",перемещён → cross-jurisdiction/regulatory/skills/clause
140,cross-jurisdiction/data-protection/skills/compliance-anthropic/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,"GDPR/CCPA, DPA, DSR",,,,,
141,cross-jurisdiction/data-protection/skills/compliance-check-2/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,GDPR/CCPA+лицензии; в основном privacy,,,,,
142,cross-jurisdiction/data-protection/skills/compliance-check-josstei/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,дубликат maestro,,,,,
143,cross-jurisdiction/data-protection/skills/compliance-check-nordic-ai/SKILL.md,cross-jurisdiction,ok,,data-protection,maybe,regulatory,широкий аудит (NIS2/DORA/HIPAA/PCI/SOC2) — шире data-protection,yes,,подтв: regulatory,мульти-framework аудит (GDPR/NIS2/AI-Act/DORA/PCI/HIPAA/SOC2/ISO) — шире data-protection; cross-jurisdiction (US/UK/EU) корректен,перемещён → cross-jurisdiction/regulatory/skills/compliance-check-nordic-ai
144,cross-jurisdiction/data-protection/skills/compliance-check/SKILL.md,cross-jurisdiction,maybe,eu,data-protection,maybe,regulatory,RGPD+NIS2+CRA — все ЕС (→eu) и шире privacy (→regulatory),yes,подтв: eu,подтв: regulatory,RGPD+NIS2+CRA — все три инструмента ЕС; и шире privacy,перемещён → eu/regulatory/skills/compliance-check
145,cross-jurisdiction/data-protection/skills/compliance-hardened/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,дубликат compliance-anthropic,,,,,
146,cross-jurisdiction/data-protection/skills/conflicting-laws-mgmt/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,,,,,,
147,cross-jurisdiction/data-protection/skills/consent-platform-eval/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,CMP выбор,,,,,
148,cross-jurisdiction/data-protection/skills/cookie-consent-policy/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,,,,,,
149,cross-jurisdiction/data-protection/skills/cyber-law-compliance-summary/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,privacy-меморандум (имя 'cyber' обманчиво),,,,,
150,cross-jurisdiction/data-protection/skills/data-privacy-agreement/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,DPA/BAA шаблоны,,,,,
151,cross-jurisdiction/data-protection/skills/digital-media-law-summary/SKILL.md,cross-jurisdiction,ok,,data-protection,maybe,tmt,"copyright+Section230+privacy — это digital media/content liability, шире data-protection",yes,,подтв: tmt,"три столпа: copyright/IP + privacy + content-liability(Section230) — digital media, шире DP",перемещён → cross-jurisdiction/tmt/skills/digital-media-law-summary
152,cross-jurisdiction/data-protection/skills/dpa-checklist-review-legalquants/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,DPA/BAA ревью,,,,,
153,cross-jurisdiction/data-protection/skills/dpa-checklist-review/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,дубликат,,,,,
154,cross-jurisdiction/data-protection/skills/dsar-form/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,DSAR GDPR+CCPA,,,,,
155,cross-jurisdiction/data-protection/skills/gdpr-dsgvo-expert-neekware/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,GDPR+нем. BDSG/DSGVO,,,,,
156,cross-jurisdiction/data-protection/skills/gdpr-privacy/SKILL.md,cross-jurisdiction,maybe,eu,data-protection,ok,,только GDPR → eu,yes,подтв: eu,,чистый GDPR,перемещён → eu/data-protection/skills/gdpr-privacy
157,cross-jurisdiction/data-protection/skills/health-data-dpia/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,health DPIA GDPR+HIPAA,,,,,
158,cross-jurisdiction/data-protection/skills/implementing-gdpr-data-subject-access-request/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,GDPR+UK GDPR DSAR,,,,,
159,cross-jurisdiction/data-protection/skills/kvkk-compliance/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,KVKK(TR)+GDPR сравнение,,,,,
160,cross-jurisdiction/data-protection/skills/legal-advisor-rmyndharis/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,privacy policy/ToS/notices,,,,,
161,cross-jurisdiction/data-protection/skills/legal-advisor-sickn33/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,дубликат legal-advisor,,,,,
162,cross-jurisdiction/data-protection/skills/legal-compliance-agent/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,privacy/ToS/HIPAA для health SaaS,,,,,
163,cross-jurisdiction/data-protection/skills/legal-compliance/SKILL.md,cross-jurisdiction,ok,,data-protection,maybe,regulatory,"GDPR/CCPA/HIPAA/SOX/PCI — широкий, шире data-protection",yes,,пересмотр: regulatory (было general),"GDPR/CCPA/HIPAA/SOX/PCI + contract review + policy — regulatory точнее, чем general",перемещён → cross-jurisdiction/regulatory/skills/legal-compliance
164,cross-jurisdiction/data-protection/skills/legal/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,privacy/ToS/EULA для app store,,,,,
165,cross-jurisdiction/data-protection/skills/managing-consent-for-children/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,GDPR Art.8+COPPA,,,,,
166,cross-jurisdiction/data-protection/skills/pia-health-data/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,health PIA,,,,,
167,cross-jurisdiction/data-protection/skills/privacy-compliance/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,GDPR/CCPA,,,,,
168,cross-jurisdiction/data-protection/skills/privacy-generator/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,privacy policy генератор,,,,,
169,cross-jurisdiction/data-protection/skills/privacy-law-monitoring/SKILL.md,cross-jurisdiction,ok,,data-protection,ok,,мониторинг privacy-законов,,,,,
